Interference and Diffraction Data File Thu, Nov 22, 2018 1:51 PM
Sensor Position (Meters)	Light Intensity (Volts)
-0.00411	0.00281
-0.00411	0.00378
-0.00411	0.00233
-0.00411	0.00426
-0.00411	0.00442
-0.00417	0.00539
-0.00417	0.00442
-0.00417	0.00249
-0.00417	0.00378
-0.00417	0.00861
-0.00417	0.00200
-0.00417	0.00281
-0.00417	0.00329
-0.00417	0.00313
-0.00417	0.00426
-0.00422	0.00168
-0.00422	0.00394
-0.00422	0.00426
-0.00422	0.00088
-0.00422	-0.00090
-0.00422	0.00394
-0.00422	-0.00090
-0.00422	0.00345
-0.00422	-0.00218
-0.00422	0.00168
-0.00428	0.00168
-0.00428	0.00700
-0.00428	0.00233
-0.00428	0.00200
-0.00428	-0.00154
-0.00428	0.00120
-0.00428	0.00490
-0.00428	-0.00009
-0.00428	0.00168
-0.00428	0.00233
-0.00433	0.00184
-0.00433	0.00297
-0.00433	0.00072
-0.00433	-0.00460
-0.00433	0.00249
-0.00433	0.00152
-0.00433	0.00217
-0.00433	-0.00073
-0.00433	0.00603
-0.00433	0.00200
-0.00439	0.00168
-0.00439	0.00184
-0.00439	0.00587
-0.00439	0.00297
-0.00439	0.00442
-0.00439	0.00652
-0.00439	0.00362
-0.00439	0.00345
-0.00439	0.00104
-0.00439	0.00329
-0.00444	0.00249
-0.00444	0.00265
-0.00444	0.00345
-0.00444	0.00458
-0.00444	0.00362
-0.00444	0.00088
-0.00444	0.00474
-0.00444	0.00104
-0.00444	-0.00025
-0.00444	0.00072
-0.00444	-0.00041
-0.00450	0.00265
-0.00450	-0.00138
-0.00450	0.00233
-0.00450	0.00394
-0.00450	0.00168
-0.00450	0.00281
-0.00450	-0.00122
-0.00450	-0.00106
-0.00450	0.00329
-0.00450	-0.00009
-0.00456	0.00007
-0.00456	0.00184
-0.00456	0.00168
-0.00456	0.00072
-0.00456	0.00233
-0.00456	0.00072
-0.00456	0.00378
-0.00456	0.00329
-0.00456	0.00072
-0.00456	0.00007
-0.00461	0.00265
-0.00461	0.00410
-0.00461	0.00362
-0.00461	0.00249
-0.00461	0.00136
-0.00461	0.00474
-0.00461	0.00168
-0.00461	0.00297
-0.00461	0.00104
-0.00461	0.00297
-0.00467	0.00152
-0.00467	0.00362
-0.00467	0.00136
-0.00467	0.00200
-0.00467	0.00313
-0.00467	0.00458
-0.00467	0.00249
-0.00467	0.00168
-0.00467	0.00023
-0.00467	0.00152
-0.00472	0.00410
-0.00472	0.00104
-0.00472	0.00410
-0.00472	0.00345
-0.00472	0.00152
-0.00472	0.00764
-0.00472	0.00136
-0.00472	0.00072
-0.00472	0.00329
-0.00472	0.00555
-0.00478	0.00184
-0.00478	0.00249
-0.00478	-0.00009
-0.00478	-0.00025
-0.00478	0.00217
-0.00478	0.00184
-0.00478	0.00039
-0.00478	0.00007
-0.00478	0.00281
-0.00478	0.00136
-0.00483	0.00168
-0.00483	-0.00025
-0.00483	0.00297
-0.00483	0.00329
-0.00483	0.00345
-0.00483	0.00265
-0.00483	0.00023
-0.00483	0.00007
-0.00483	0.00329
-0.00483	0.00088
-0.00489	0.00265
-0.00489	0.00104
-0.00489	0.00039
-0.00489	0.00313
-0.00489	0.00233
-0.00489	0.00539
-0.00489	0.00233
-0.00489	0.00378
-0.00489	0.00072
-0.00489	0.00539
-0.00494	0.00265
-0.00494	0.00442
-0.00494	0.00442
-0.00494	0.00265
-0.00494	0.00410
-0.00494	0.00313
-0.00494	0.00217
-0.00494	0.00490
-0.00494	0.00233
-0.00500	0.00378
-0.00500	0.00329
-0.00500	0.00474
-0.00500	0.00345
-0.00500	0.00007
-0.00500	0.00329
-0.00500	0.00233
-0.00500	0.00378
-0.00500	0.00023
-0.00500	0.00378
-0.00506	0.00281
-0.00506	0.00152
-0.00506	0.00120
-0.00506	0.00249
-0.00506	0.00362
-0.00506	0.00249
-0.00506	0.00249
-0.00506	0.00055
-0.00506	0.00184
-0.00506	0.00168
-0.00511	0.00281
-0.00511	0.00136
-0.00511	0.00120
-0.00511	0.00523
-0.00511	0.00490
-0.00511	0.00120
-0.00511	0.00474
-0.00511	0.00168
-0.00511	0.00410
-0.00511	0.00378
-0.00517	0.00281
-0.00517	0.00635
-0.00517	0.00893
-0.00517	0.00394
-0.00517	0.00426
-0.00517	0.00426
-0.00517	0.00281
-0.00517	0.00249
-0.00517	0.00313
-0.00517	0.00426
-0.00522	0.00668
-0.00522	0.00249
-0.00522	0.00635
-0.00522	0.00571
-0.00522	0.00668
-0.00522	0.00442
-0.00522	0.00684
-0.00522	0.00603
-0.00522	0.00474
-0.00528	0.00813
-0.00528	0.00345
-0.00528	0.00458
-0.00528	0.00474
-0.00528	0.00555
-0.00528	0.00539
-0.00528	0.00684
-0.00528	0.00539
-0.00528	0.00619
-0.00528	0.00603
-0.00533	0.00748
-0.00533	0.00474
-0.00533	0.00523
-0.00533	0.00571
-0.00533	0.00200
-0.00533	0.00362
-0.00533	0.00184
-0.00533	0.00394
-0.00533	0.00313
-0.00533	0.00184
-0.00539	0.00362
-0.00539	0.00329
-0.00539	0.00152
-0.00539	0.00523
-0.00539	0.00200
-0.00539	0.00313
-0.00539	-0.00057
-0.00539	0.00345
-0.00539	0.00362
-0.00544	0.00281
-0.00544	0.00362
-0.00544	0.00168
-0.00544	0.00474
-0.00544	0.00394
-0.00544	0.00539
-0.00544	0.00603
-0.00544	0.00410
-0.00544	0.00635
-0.00544	0.00523
-0.00550	0.00523
-0.00550	0.00442
-0.00550	0.00700
-0.00550	0.00700
-0.00550	0.00507
-0.00550	0.00732
-0.00550	0.00861
-0.00550	0.00925
-0.00550	0.00619
-0.00550	0.00813
-0.00556	0.00732
-0.00556	0.00942
-0.00556	0.00635
-0.00556	0.00893
-0.00556	0.00925
-0.00556	0.00700
-0.00556	0.00813
-0.00556	0.00813
-0.00556	0.01054
-0.00556	0.00877
-0.00561	0.00523
-0.00561	0.00909
-0.00561	0.00635
-0.00561	0.00490
-0.00561	0.00668
-0.00561	0.00474
-0.00561	0.00426
-0.00561	0.00442
-0.00561	0.00410
-0.00567	0.00007
-0.00567	0.00507
-0.00567	0.00265
-0.00567	0.00152
-0.00567	0.00297
-0.00567	0.00039
-0.00567	0.00458
-0.00567	0.00055
-0.00567	0.00168
-0.00567	0.00233
-0.00572	0.00329
-0.00572	0.00426
-0.00572	0.00329
-0.00572	0.00329
-0.00572	0.00136
-0.00572	0.00313
-0.00572	0.00297
-0.00572	0.00426
-0.00572	0.00281
-0.00572	0.00507
-0.00578	0.00507
-0.00578	0.00716
-0.00578	0.00668
-0.00578	0.00668
-0.00578	0.00539
-0.00578	0.00684
-0.00578	0.00652
-0.00578	0.01022
-0.00578	0.00829
-0.00583	0.00909
-0.00583	0.00909
-0.00583	0.01054
-0.00583	0.01022
-0.00583	0.01119
-0.00583	0.01022
-0.00583	0.01151
-0.00583	0.01167
-0.00583	0.01022
-0.00589	0.01248
-0.00589	0.01022
-0.00589	0.01183
-0.00589	0.01135
-0.00589	0.01070
-0.00589	0.00990
-0.00589	0.01006
-0.00589	0.01070
-0.00589	0.00732
-0.00589	0.01070
-0.00594	0.00797
-0.00594	0.00635
-0.00594	0.00603
-0.00594	0.00780
-0.00594	0.00345
-0.00594	0.00426
-0.00594	0.00233
-0.00594	0.00523
-0.00594	0.00507
-0.00594	0.00507
-0.00600	0.00555
-0.00600	0.00490
-0.00600	0.00168
-0.00600	0.00474
-0.00600	0.00571
-0.00600	0.00265
-0.00600	0.00652
-0.00600	0.00507
-0.00600	0.00555
-0.00606	0.00635
-0.00606	0.00523
-0.00606	0.00458
-0.00606	0.00652
-0.00606	0.00877
-0.00606	0.00813
-0.00606	0.00748
-0.00606	0.01070
-0.00606	0.00942
-0.00611	0.00974
-0.00611	0.00813
-0.00611	0.01264
-0.00611	0.01135
-0.00611	0.01344
-0.00611	0.01377
-0.00611	0.01473
-0.00611	0.01409
-0.00611	0.01586
-0.00611	0.01699
-0.00617	0.01505
-0.00617	0.01811
-0.00617	0.01860
-0.00617	0.01779
-0.00617	0.01570
-0.00617	0.01538
-0.00617	0.01586
-0.00617	0.01505
-0.00617	0.01586
-0.00617	0.01618
-0.00622	0.01505
-0.00622	0.01554
-0.00622	0.01425
-0.00622	0.01280
-0.00622	0.01151
-0.00622	0.01135
-0.00622	0.01232
-0.00622	0.01006
-0.00622	0.00845
-0.00628	0.00829
-0.00628	0.00861
-0.00628	0.00684
-0.00628	0.00619
-0.00628	0.00780
-0.00628	0.00732
-0.00628	0.00732
-0.00628	0.00845
-0.00628	0.00474
-0.00628	0.00732
-0.00633	0.00845
-0.00633	0.00587
-0.00633	0.00571
-0.00633	0.00780
-0.00633	0.00619
-0.00633	0.00813
-0.00633	0.00893
-0.00633	0.00974
-0.00633	0.00974
-0.00639	0.01199
-0.00639	0.01135
-0.00639	0.01328
-0.00639	0.01328
-0.00639	0.00861
-0.00639	0.01393
-0.00639	0.01586
-0.00639	0.01683
-0.00639	0.01618
-0.00639	0.01683
-0.00644	0.01828
-0.00644	0.01924
-0.00644	0.01715
-0.00644	0.02134
-0.00644	0.02053
-0.00644	0.01892
-0.00644	0.02327
-0.00644	0.02037
-0.00644	0.02134
-0.00650	0.02053
-0.00650	0.02053
-0.00650	0.02182
-0.00650	0.01779
-0.00650	0.01844
-0.00650	0.02311
-0.00650	0.01634
-0.00650	0.01731
-0.00650	0.01618
-0.00650	0.01683
-0.00656	0.01554
-0.00656	0.01505
-0.00656	0.01312
-0.00656	0.01183
-0.00656	0.01151
-0.00656	0.01248
-0.00656	0.01151
-0.00656	0.00893
-0.00656	0.00990
-0.00656	0.01054
-0.00661	0.01022
-0.00661	0.00732
-0.00661	0.00925
-0.00661	0.00458
-0.00661	0.00748
-0.00661	0.00732
-0.00661	0.00813
-0.00661	0.00780
-0.00661	0.00797
-0.00661	0.00861
-0.00667	0.00974
-0.00667	0.01054
-0.00667	0.01151
-0.00667	0.01248
-0.00667	0.01296
-0.00667	0.01264
-0.00667	0.01618
-0.00667	0.01360
-0.00667	0.01360
-0.00672	0.01844
-0.00672	0.01892
-0.00672	0.01747
-0.00672	0.01844
-0.00672	0.02118
-0.00672	0.02101
-0.00672	0.01860
-0.00672	0.02134
-0.00672	0.02214
-0.00672	0.02359
-0.00678	0.02198
-0.00678	0.02553
-0.00678	0.02375
-0.00678	0.02456
-0.00678	0.02182
-0.00678	0.02391
-0.00678	0.02327
-0.00678	0.02375
-0.00678	0.01683
-0.00678	0.02391
-0.00683	0.02118
-0.00683	0.02053
-0.00683	0.01940
-0.00683	0.02005
-0.00683	0.01731
-0.00683	0.01876
