Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.410	26.683	0.239
4.420	26.645	0.239
4.430	26.563	0.239
4.440	26.460	0.239
4.450	26.306	0.239
4.460	26.117	0.239
4.470	25.906	0.239
4.480	25.649	0.239
4.490	25.365	0.239
4.500	25.064	0.239
4.510	24.729	0.239
4.520	24.368	0.239
4.530	24.003	0.239
4.540	23.603	0.239
4.550	23.191	0.239
4.560	22.783	0.239
4.570	22.344	0.239
4.580	21.906	0.239
4.590	21.463	0.239
4.600	21.033	0.239
4.610	20.591	0.239
4.620	20.157	0.239
4.630	19.748	0.239
4.640	19.341	0.239
4.650	18.954	0.239
4.660	18.597	0.239
4.670	18.257	0.239
4.680	17.940	0.239
4.690	17.664	0.239
4.700	17.407	0.239
4.710	17.175	0.239
4.720	16.990	0.239
4.730	16.827	0.239
4.740	16.698	0.239
4.750	16.621	0.239
4.760	16.570	0.239
4.770	16.561	0.239
4.780	16.587	0.239
4.790	16.665	0.239
4.800	16.773	0.239
4.810	16.911	0.239
4.820	17.104	0.239
4.830	17.311	0.239
4.840	17.552	0.239
4.850	17.836	0.239
4.860	18.137	0.239
4.870	18.460	0.239
4.880	18.825	0.239
4.890	19.195	0.239
4.900	19.587	0.239
4.910	20.008	0.239
4.920	20.426	0.239
4.930	20.852	0.239
4.940	21.299	0.239
4.950	21.738	0.239
4.960	22.172	0.239
4.970	22.603	0.239
4.980	23.037	0.239
4.990	23.450	0.239
5.000	23.850	0.239
5.010	24.241	0.239
5.020	24.607	0.239
5.030	24.947	0.239
5.040	25.274	0.239
5.050	25.562	0.239
5.060	25.825	0.239
5.070	26.066	0.239
5.080	26.260	0.239
5.090	26.419	0.239
5.100	26.557	0.239
5.110	26.638	0.239
5.120	26.686	0.239
5.130	26.708	0.239
5.140	26.678	0.239
5.150	26.605	0.239
5.160	26.511	0.239
5.170	26.369	0.239
5.180	26.193	0.239
5.190	25.978	0.239
5.200	25.746	0.239
5.210	25.471	0.239
5.220	25.166	0.239
5.230	24.848	0.239
5.240	24.496	0.239
5.250	24.118	0.239
5.260	23.735	0.239
5.270	23.327	0.239
5.280	22.902	0.239
5.290	22.480	0.239
5.300	22.038	0.239
5.310	21.595	0.239
5.320	21.170	0.239
5.330	20.732	0.239
5.340	20.297	0.239
5.350	19.889	0.239
5.360	19.481	0.239
5.370	19.090	0.239
5.380	18.720	0.239
5.390	18.381	0.239
5.400	18.059	0.239
5.410	17.758	0.239
5.420	17.500	0.239
5.430	17.260	0.239
5.440	17.053	0.239
5.450	16.890	0.239
5.460	16.753	0.239
5.470	16.650	0.239
5.480	16.598	0.239
5.490	16.577	0.239
5.500	16.595	0.239
5.510	16.664	0.239
5.520	16.754	0.239
5.530	16.879	0.239
5.540	17.060	0.239
5.550	17.254	0.239
5.560	17.482	0.239
5.570	17.744	0.239
5.580	18.045	0.239
5.590	18.360	0.239
5.600	18.704	0.239
5.610	19.082	0.239
5.620	19.470	0.239
5.630	19.874	0.239
5.640	20.304	0.239
5.650	20.730	0.239
5.660	21.160	0.239
5.670	21.607	0.239
5.680	22.042	0.239
5.690	22.472	0.239
5.700	22.907	0.239
5.710	23.320	0.239
5.720	23.715	0.239
5.730	24.115	0.239
5.740	24.481	0.239
5.750	24.821	0.239
5.760	25.144	0.239
5.770	25.453	0.239
5.780	25.716	0.239
5.790	25.953	0.239
5.800	26.172	0.239
5.810	26.340	0.239
5.820	26.474	0.239
5.830	26.581	0.239
5.840	26.637	0.239
5.850	26.651	0.239
5.860	26.642	0.239
5.870	26.582	0.239
5.880	26.488	0.239
5.890	26.363	0.239
5.900	26.196	0.239
5.910	25.994	0.239
5.920	25.771	0.239
5.930	25.508	0.239
5.940	25.216	0.239
5.950	24.894	0.239
5.960	24.563	0.239
5.970	24.194	0.239
5.980	23.807	0.239
5.990	23.412	0.239
6.000	22.995	0.239
6.010	22.565	0.239
6.020	22.144	0.239
6.030	21.701	0.239
6.040	21.259	0.239
6.050	20.838	0.239
6.060	20.404	0.239
6.070	19.983	0.239
6.080	19.587	0.239
6.090	19.192	0.239
6.100	18.818	0.239
6.110	18.478	0.239
6.120	18.148	0.239
6.130	17.842	0.239
6.140	17.568	0.239
6.150	17.336	0.239
6.160	17.121	0.239
6.170	16.941	0.239
